Alias;Razón Social;RUT;Email;Teléfono;Dirección;Alias;Atención
5 magnolias;5MAGNOLIAS VENTA E IMPORTACIÓN CASA Y DECORACIÓN LIMITADA;77207711-4;N/A;N/A;N/A;5 magnolias;N/A
Hotel Ibis;ACCOR CHILE S.A. / HOTELERIA DE LOS ANDES S.A.;96870370-6;N/A;N/A;N/A;Hotel Ibis;N/A
;ADMINISTRADORA DE MARCAS Y RESTAURANTES SPA;76310434-6;N/A;N/A;N/A;;N/A
;AGRICOLA SANTA INES LIMITADA;77863720-0;N/A;N/A;N/A;;N/A
Al son;AL SON DE LAS TRADICIONES RESTAURANTE SPA;76488465-5;N/A;N/A;N/A;Al son;N/A
;ALTO LONQUIMAY SPA;77192619-3;N/A;N/A;N/A;;N/A
;ALTO PATAGONIA SPA;77046863-9;N/A;N/A;N/A;;N/A
;ARRAYAN CAPACITACIONES SPA;76988315-0;N/A;N/A;N/A;;N/A
;ASESORÍAS Y SERVICIOS E&V SPA;77602605-0;N/A;N/A;N/A;;N/A
;ASOC DEPORTIVA REGIONAL ATLETICA DEL BIO BIO;65215360-7;N/A;N/A;N/A;;N/A
Camara chigte;ASOC GREMIAL CAMARA DE COMERCIO DE CHIGUAYANTE;73406800-4;N/A;N/A;N/A;Camara chigte;N/A
Camara yumbel;ASOC GREMIAL CAMARA DE COMERCIO MINORISTA DE LA COMUNA DE YUMBEL;71635300-1;N/A;N/A;N/A;Camara yumbel;N/A
Agepbec;ASOC GREMIAL DE ESTILISTAS, PELUQUEROS, BARBEROS Y CENTROS DE BELLEZA;65202296-0;N/A;N/A;N/A;Agepbec;N/A
;ASOC GREMIAL DEL COMERCIO DETALLISTA DE CONCEPCION;71434000-K;N/A;N/A;N/A;;N/A
;ASOCIACION CHILENA NACIONES UNIDAS REGION DEL BIO BIO;65167782-3;N/A;N/A;N/A;;N/A
Borde costero;ASOCIACION GREMIAL BORDE COSTERO DE PENCO A.G.;65233275-7;N/A;N/A;N/A;Borde costero;N/A
Camara lota;ASOCIACION GREMIAL CAMARA DE COMERCIO DE LOTA;65574120-8;N/A;N/A;N/A;Camara lota;N/A
CAMARA PTO SAAVEDRA;ASOCIACION GREMIAL CAMARA DE COMERCIO, TURISMO Y SERVICIOS DE SAAVEDRA;65041165-K;N/A;N/A;N/A;CAMARA PTO SAAVEDRA;N/A
CAMARA HUALQUI;ASOCIACION GREMIAL CAMARA PRODUCCION, COMERCIO, TURISMO DE HUALQUI A.G.;65224381-9;N/A;N/A;N/A;CAMARA HUALQUI;N/A
CAMARA DIOGITAL;ASOCIACION GREMIAL DE EMPRESARIOS Y EMPRENDEDORES DEL COMERCIO DIGITAL A.G.;65247424-1;N/A;N/A;N/A;CAMARA DIOGITAL;N/A
;AUTOMOTORA OLIVERA LIMITADA;76095439-K;N/A;N/A;N/A;;N/A
;BRANDITUP SPA;78088393-6;N/A;N/A;N/A;;N/A
TRANSPORTES BUSTAMANTE;BUSTAMANTE Y CARRASCO LIMITAD;76065079-K;N/A;N/A;N/A;TRANSPORTES BUSTAMANTE;N/A
CAMARA CORONEL;CAMARA DE COMERCIO DE CORONEL;70511000-K;N/A;N/A;N/A;CAMARA CORONEL;N/A
;CAMARA DE COMERCIO, SERVICIOS Y TURISMO DE CONCEPCION A.G.;70017810-2;N/A;N/A;N/A;;N/A
CAMARA DICHATO;CAMARA DE TURISMO Y COMERCIO DE DICHATO AG.;65036472-4;N/A;N/A;N/A;CAMARA DICHATO;N/A
UDEC ;CAMPANIL S.A.D.P.;76630174-6;N/A;N/A;N/A;UDEC ;N/A
;CENTRO DE BIENESTAR Y ESTETICA PAOLA GUTIERREZ CRISOSTO EIRL;77078181-7;N/A;N/A;N/A;;N/A
;CICLO CERO SPA;76059336-2;N/A;N/A;N/A;;N/A
MASVISION;CLINICA OFTALMOLOGICA MAS VISION SPA;76180940-7;N/A;N/A;N/A;MASVISION;N/A
;CLUB AEREO DE CONCEPCION;70017750-5;N/A;N/A;N/A;;N/A
;CLUB ATLETISMO PENCO;65583490-7;N/A;N/A;N/A;;N/A
UDEC FUTBOL;CLUB DEPORTIVO UNIVERSIDAD DE CONCEPCION;73279600-2;N/A;N/A;N/A;UDEC FUTBOL;N/A
GANGA ;COMERCIAL CAUPOLICAN LIMITADA;76704184-5;N/A;N/A;N/A;GANGA ;N/A
;COMERCIAL LA SORAYA SPA;76980195-2;N/A;N/A;N/A;;N/A
;COMERCIAL LOS PUELCHES LIMITADA;76704193-4;N/A;N/A;N/A;;N/A
;COMERCIAL LOS TATANES SPA;76605867-1;N/A;N/A;N/A;;N/A
;COMERCIAL MAYOR LIMITADA;76102105-2;N/A;N/A;N/A;;N/A
;COMERCIALIZADORA E INVERSIONES CASTELLON 176 SPA;77375227-3;N/A;N/A;N/A;;N/A
;COMITE DE ADELANTO SEGURIDAD DEPORTIVO Y MEDIO AMBIENTE PUCARA BUREO;65164452-6;N/A;N/A;N/A;;N/A
;COMITE DE ADELANTO VILLA JERUSALEN;75766200-0;N/A;N/A;N/A;;N/A
SUSPIRO;COMO... FINA ESTAMPA SPA;76225889-7;N/A;N/A;N/A;SUSPIRO;N/A
;CONDOR MUSIC SPA;77506069-7;N/A;N/A;N/A;;N/A
;CONHER SPA;76356454-1;N/A;N/A;N/A;;N/A
ATACAGUA CONSTRUCTORA;CONSTRUCTORA ATACAGUA S.A;76060010-5;N/A;N/A;N/A;ATACAGUA CONSTRUCTORA;N/A
CONSTRUCTORA NOVAL;CONSTRUCTORA NOVAL LIMITADA;76053696-2;N/A;N/A;N/A;CONSTRUCTORA NOVAL;N/A
TRIBU CREATIVA;CONSULTORA E INVERSIONES TRIBU CREATIVA SPA;77090943-0;N/A;N/A;N/A;TRIBU CREATIVA;N/A
CAMARA CERVECEROS;COOPERATIVA DE TRABAJO DE CERVECEROS ARETESANALES DEL BIO BIO LTDA;65223816-5;N/A;N/A;N/A;CAMARA CERVECEROS;N/A
CLUB LLACOLEN;CORP CAMPOS DEPORTIVOS LLACOLEN;86550400-4;N/A;N/A;N/A;CLUB LLACOLEN;N/A
ALDEA RURAL;CORPORACION EDUCACIONAL ALDEA RURAL;65000269-5;N/A;N/A;N/A;ALDEA RURAL;N/A
COLEGIO ANIBAL ESQUIVEL;CORPORACION EDUCACIONAL ANIBAL ESQUIVEL TAPIA;65144683-K;N/A;N/A;N/A;COLEGIO ANIBAL ESQUIVEL;N/A
COLEGIO ELUNEY BULNES;CORPORACION EDUCACIONAL ELUNEY DE BULNES;65155601-5;N/A;N/A;N/A;COLEGIO ELUNEY BULNES;N/A
PORVENIR SCHOOL;CORPORACION EDUCACIONAL SAME DE CHIGUAYANTE;65155592-2;N/A;N/A;N/A;PORVENIR SCHOOL;N/A
4 COMPAÑIA BOMBEROS;CUERPO DE BOMBEROS DE CONCEPCION;81891700-7;N/A;N/A;N/A;4 COMPAÑIA BOMBEROS;N/A
;DESTILERÍA LA SANTA SPA;78220131-K;N/A;N/A;N/A;;N/A
MYL 2;DISTRIBUIDORA M&L 2 SPA;77702489-2;N/A;N/A;N/A;MYL 2;N/A
;DISTRIBUIDORA Y COMERCIAL SURS A;99563240-3;N/A;N/A;N/A;;N/A
BEAUTY SPACE;DISTRIBUIDORA Y COMERCIALIZADORA E.B. LIMITADA;77593809-9;N/A;N/A;N/A;BEAUTY SPACE;N/A
;DISTRIBUIDORA Y COMERCIALIZADORA PRODUCTOS SPA;78057279-5;N/A;N/A;N/A;;N/A
VINOS PANDOLFI;ENZO PATRICIO EDUARDO PANDOLFI PRICE;15592217-6;N/A;N/A;N/A;VINOS PANDOLFI;N/A
;FARMACEUTICA CYNTHIA QUILODRAN RIQUELME E.I.R.L;85547200-7;N/A;N/A;N/A;;N/A
;FEDERACION ATLETICA DE CHILE;70011700-6;N/A;N/A;N/A;;N/A
;FEDERACION GREMIAL REGIONAL DEL COMERCIO Y TURISMO DEL BIO BIO;71165200-0;N/A;N/A;N/A;;N/A
;FERIA EXPOSICION DE LA REGION DEL BIO ΒΙΟ;85732800-0;N/A;N/A;N/A;;N/A
CRISANTA;FERNÁNDEZ, PIZARRO Y RUÍZ SPA;77683353-3;N/A;N/A;N/A;CRISANTA;N/A
;FUNDACION DE CAPACITACION BELFER;65184353-7;N/A;N/A;N/A;;N/A
;FUNDACION HONRA;65053933-8;N/A;N/A;N/A;;N/A
;FURIA SA;76017127-1;N/A;N/A;N/A;;N/A
FINA ESTAMPA ANDALUE;GASTRONOMICA MIRANDA SPA / SOCIEDAD GASTRONOMICA MIRANDA Y CALDERON LTDA;76142811-K;N/A;N/A;N/A;FINA ESTAMPA ANDALUE;N/A
;GRUPO SOCIAL VECINO SEGURO;65038401-6;N/A;N/A;N/A;;N/A
HUACHIPATO FC;HUACHIPATO FC S.A.D.P. / HUACHIPATO SADP;77996891-K;N/A;N/A;N/A;HUACHIPATO FC;N/A
ROGGENDORF;HUGO ROGGENDORF Y CIA LTDA;83979300-6;N/A;N/A;N/A;ROGGENDORF;N/A
CONSTRUCTORA HECTOR VEGA;INGENIERIA MAESTRANZA Y MONTAJES HECTOR VEGA ZUNIGA LTDA;77355680-6;N/A;N/A;N/A;CONSTRUCTORA HECTOR VEGA;N/A
CONSTRUCTORA ICEAL;INGENIERIA Y CONSTRUCCION EDUARDO ARANCIBIA SPA;79929720-5;N/A;N/A;N/A;CONSTRUCTORA ICEAL;N/A
;INGENIERÍA Y CONSTRUCCIÓN HARCHA LIMITADA;76687757-5;N/A;N/A;N/A;;N/A
DR NEIRA;INMOB E INVERSIONES NYN LTDA;76938890-7;N/A;N/A;N/A;DR NEIRA;N/A
;INMOBILIARIA COLIPI SPA;76230978-5;N/A;N/A;N/A;;N/A
;INMOBILIARIA E INVERSIONES MJV SA;76517992-0;N/A;N/A;N/A;;N/A
;INVERSIONES CUARTA SPA;77822329-5;N/A;N/A;N/A;;N/A
FINA ESTAMPA COLO COLO ();INVERSIONES GASTRONOMIA Y HOTELERA CALDERON Y COMPANIA LIMITADA;76545616-9;N/A;N/A;N/A;FINA ESTAMPA COLO COLO ();N/A
;INVERSIONES Y DISEÑO LIFEKITCHENS LIMITADA;77101071-7;N/A;N/A;N/A;;N/A
FINA ESTAMPA ANGOL;INVERSIONES Y RESTAURANTES CALDERON Y ACUNA LIMITADA;76048951-4;N/A;N/A;N/A;FINA ESTAMPA ANGOL;N/A
FINA ESTAMPA SAN PEDRO;INVERSIONES Y RESTAURANTES CALDERON Y ALTAMIRANO LIMITADA;76048955-7;N/A;N/A;N/A;FINA ESTAMPA SAN PEDRO;N/A
LUCERNA;JORGE SVERLIJ RY COMPANIA LIMITADA;76709930-4;N/A;N/A;N/A;LUCERNA;N/A
;JOYAS, ACCESORIOS Y BAZAR SPA;77473745-6;N/A;N/A;N/A;;N/A
;JUAN ESPINOZA DURAN Y COMPANIA LIMITADA;77431670-1;N/A;N/A;N/A;;N/A
;JUNTA DE VECINOS BAYONA;65025131-8;N/A;N/A;N/A;;N/A
;JUNTA DE VECINOS LOMAS DE SAN ANDRES;72159300-2;N/A;N/A;N/A;;N/A
;KAREN ALEJANDRA SOTO REYES;14619475-3;N/A;N/A;N/A;;N/A
;LDC SANTA JUANA (LIGA DEPORTIVA COMUNAL);65084107-7;N/A;N/A;N/A;;N/A
;LUCIA ANDREA ROSALES CID;10020993-4;N/A;N/A;N/A;;N/A
;LUCILA TRANSITO RAMIREZ CUEVAS;8614758-0;N/A;N/A;N/A;;N/A
;MANTOS DE ALTOS VIENTOS SPA;77793267-5;N/A;N/A;N/A;;N/A
DON MARIO ;MARIO ENRIQUE BUSTAMANTE IBARRA;10336566-K;N/A;N/A;N/A;DON MARIO ;N/A
;MAXAGUA SPA;77751328-1;N/A;N/A;N/A;;N/A
;MIGUEL ANGEL GOMEZ SEPULVEDA;16446796-1;N/A;N/A;N/A;;N/A
COSTURAS;MONICA BARBARA GOMEZ ROJAS;9897250-1;N/A;N/A;N/A;COSTURAS;N/A
;MURILLO & PARTNERS CAPACITACION LIMITADA;76060539-5;N/A;N/A;N/A;;N/A
;NESTLE CHILE SA;90703000-8;N/A;N/A;N/A;;N/A
PADEL PUCON;PADEL PARK SPA;77486297-8;N/A;N/A;N/A;PADEL PUCON;N/A
;PARTIDO SOCIAL CRISTIANO;65228149-4;N/A;N/A;N/A;;N/A
PATO CHICO;PATRICIO MENDEZ SALGADO MARKET EIR.L.;77172542-2;N/A;N/A;N/A;PATO CHICO;N/A
COCO NAILS;PAULA IGNACIA ULLOA AGUAYO;16329269-6;N/A;N/A;N/A;COCO NAILS;N/A
;POW GROUP SPA;76777441-9;N/A;N/A;N/A;;N/A
;SAGITARIO DISENO E IMPRESOS LIMITADA;78357470-5;N/A;N/A;N/A;;N/A
;SAN MIGUELY COMPANIA LIMITADA;76195299-4;N/A;N/A;N/A;;N/A
CAFETERIA SARA CRUZ;SARITA CRUZ SPA;77450827-9;N/A;N/A;N/A;CAFETERIA SARA CRUZ;N/A
SERCOIN;SEGURIDAD INDUSTRIAL BENAVIDES Y OLIVA LIMITADA;76613950-7;N/A;N/A;N/A;SERCOIN;N/A
BOBADILLA;SERGIO ENRIQUE BOBADILLA MUNOZ;8093904-3;N/A;N/A;N/A;BOBADILLA;N/A
MADRIGUERA;SERVICIOS GASTRONOMICOS LIMITADA;77970628-1;N/A;N/A;N/A;MADRIGUERA;N/A
BIO BIO AVENTURA;SERVICIOS, TURISMO Y TRANSPORTE BIOBIO AVENTURA LIMITADA;76482133-5;N/A;N/A;N/A;BIO BIO AVENTURA;N/A
;SMERT CHILE SPA;77010411-4;N/A;N/A;N/A;;N/A
;SOC GASTRONOMICA LAS TORCAZAS LIMITADA;77587410-4;N/A;N/A;N/A;;N/A
;SOC REGIONAL COMERCIAL LIMITADA;85312400-1;N/A;N/A;N/A;;N/A
MONASTERIO;SOCIEDAD CALDERON Y COMPANIA LIMITADA;77680881-4;N/A;N/A;N/A;MONASTERIO;N/A
;SOCIEDAD DE INVERSIONES CHILEITAL LIMITADA;77253122-2;N/A;N/A;N/A;;N/A
;SOCIEDAD DE SERVICIOS HOTELEROS TIERRA VERDE SPA;77307713-4;N/A;N/A;N/A;;N/A
SKY BAR;SOCIEDAD GASTRONOMICA CALDERON Y PALACIOS LIMITADA;76991508-7;N/A;N/A;N/A;SKY BAR;N/A
FINA ESTAMPA TUCAPEL;SOCIEDAD GASTRONOMICA E INVERSIONES PALACIOS Y COMPANIA LIMITADA;76163159-4;N/A;N/A;N/A;FINA ESTAMPA TUCAPEL;N/A
FINA ESTAMPA CHIGTE;SOCIEDAD GASTRONOMICA HERMANOS ACUNA Y COMPANIA LIMITADA;76261341-7;N/A;N/A;N/A;FINA ESTAMPA CHIGTE;N/A
MADRIGUERA 1;SOCIEDAD GASTRONOMICA ONGOLMO SPA;77924194-7;N/A;N/A;N/A;MADRIGUERA 1;N/A
;SOCIEDAD HOTELERA VITA NOVA LIMITADA;78089848-8;N/A;N/A;N/A;;N/A
;SPS SPA;77696236-8;N/A;N/A;N/A;;N/A
;SUIZA INVERSIONES SPA;77124751-2;N/A;N/A;N/A;;N/A
;THOMAS JEFFERSON II SA;99545290-1;N/A;N/A;N/A;;N/A
;UBR ARQUITECTOS LIMITADA;76911949-3;N/A;N/A;N/A;;N/A
;UNIVERSIDAD DEL BIO ΒΙΟ;60911006-6;N/A;N/A;N/A;;N/A
;VINA MARDONES Y COMPANIA LIMITADA;76991753-5;N/A;N/A;N/A;;N/A
